GO,Function,Proteins,Gene Name,Ontology group,Count of protein,Number of proteins detected within the genome,GO frequency within the dataset (%),GO frequency within the genome (%),P-Value,P-Values_BH
GO:0016020,membrane,A0JND8(Evidence code:IEA/Database source:InterPro:IPR009147)Q5GJ77(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)O78186(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)B8Y6C2(Evidence code:IEA/Database source:InterPro:IPR000109)Q9TTR6(Evidence code:IEA/Database source:InterPro:IPR001734)Q1JPA0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q3ZBG9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472), ABCC4 GPAM Man8 SLC15A2 sglt1 ALDH3B1 PLSCR2,CC,7,7 of 1837,70,0.38,0.00001593,0.0005529
GO:0016021,integral component of membrane,A0JND8(Evidence code:IEA/Database source:InterPro:IPR011527|I)B8Y6C2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q5GJ77(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)O78186(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q9TTR6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q3ZBG9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812), ABCC4 SLC15A2 GPAM Man8 sglt1 PLSCR2,CC,6,6 of 1299,60,0.46,0.0000194,0.0005529
GO:0055085,transmembrane transport,Q9TTR6(Evidence code:IEA/Database source:InterPro:IPR001734)B8Y6C2(Evidence code:IEA/Database source:InterPro:IPR000109)A0JND8(Evidence code:IEA/Database source:InterPro:IPR011527), sglt1 SLC15A2 ABCC4,BP,3,3 of 183,30,1.64,0.00005062,0.0009617
GO:0004052,arachidonate 12-lipoxygenase activity,Q6SYC4(Evidence code:ISS/Database source:UniProtKB:Q02759),ALOX12,MF,1,1 of 1,10,100,0.0006809,0.007276
GO:0017128,phospholipid scramblase activity,Q3ZBG9(Evidence code:IBA/Database source:PANTHER:PTN000582979),PLSCR2,MF,1,1 of 2,10,50,0.001021,0.007276
GO:0004030,aldehyde dehydrogenase [NAD(P)+] activity,Q1JPA0(Evidence code:IEA/Database source:EC:1.2.1.5),ALDH3B1,MF,1,1 of 2,10,50,0.001021,0.007276
GO:0017121,phospholipid scrambling,Q3ZBG9(Evidence code:IEA/Database source:GO:0017128),PLSCR2,BP,1,1 of 1,10,100,0.0006809,0.007276
GO:0004366,glycerol-3-phosphate O-acyltransferase activity,Q5GJ77(Evidence code:IEA/Database source:InterPro:IPR028354),GPAM,MF,1,1 of 2,10,50,0.001021,0.007276
GO:0005886,plasma membrane,Q1JPA0(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q5GJ77(Evidence code:IEA/Database source:InterPro:IPR028354)Q3ZBG9(Evidence code:IBA/Database source:PANTHER:PTN000583005), ALDH3B1 GPAM PLSCR2,CC,3,3 of 630,30,0.48,0.00175,0.007673
GO:0055114,oxidation-reduction process,Q6SYC4(Evidence code:IEA/Database source:InterPro:IPR000907|I)Q1JPA0(Evidence code:IEA/Database source:InterPro:IPR012394|I), ALOX12 ALDH3B1,BP,2,2 of 162,20,1.23,0.001619,0.007673
GO:0006068,ethanol catabolic process,Q1JPA0(Evidence code:IEA/Database source:UniPathway:UPA00780),ALDH3B1,BP,1,1 of 4,10,25,0.001701,0.007673
GO:0042612,MHC class I protein complex,O78186(Evidence code:IEA/Database source:UniProtKB-KW:KW-0490),Man8,CC,1,1 of 4,10,25,0.001701,0.007673
GO:0050918,positive chemotaxis,P35541(Evidence code:IEA/Database source:GO:0042056),SAA1,BP,1,1 of 4,10,25,0.001701,0.007673
GO:0016024,CDP-diacylglycerol biosynthetic process,Q5GJ77(Evidence code:IEA/Database source:UniPathway:UPA00557),GPAM,BP,1,1 of 6,10,16.67,0.002381,0.009694
GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,O78186(Evidence code:IEA/Database source:UniProtKB-KW:KW-0490),Man8,BP,1,1 of 7,10,14.29,0.00272,0.01034
GO:1902476,chloride transmembrane transport,A0JND8(Evidence code:IEA/Database source:GO:0005254),ABCC4,BP,1,1 of 10,10,10,0.003739,0.01066
