GO,Function,Proteins,Gene Name,Ontology group,Count of protein,Number of proteins detected within the genome,GO frequency within the dataset (%),GO frequency within the genome (%),P-Value,P-Values_BH
GO:0005634,nucleus,E1BNP7(Evidence code:IEA/Database source:InterPro:IPR004979)P51122(Evidence code:ISS/Database source:UniProtKB:P39687)Q8SQ24(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)Q5E9A1(Evidence code:ISS/Database source:UniProtKB:Q60817)A5PJS6(Evidence code:ISS/Database source:UniProtKB:Q14694)Q29RY4(Evidence code:ISS/Database source:UniProtKB:Q9H777)Q9XSK7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)A0JN97(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)E1BKG4(Evidence code:IBA/Database source:PANTHER:PTN000292173)E1BIL7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)A2VE56(Evidence code:IEA/Database source:InterPro:IPR004092)A6QNQ6(Evidence code:IEA/Database source:InterPro:IPR033594)Q0VD31(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)F1MXK2(Evidence code:IEA/Database source:UniProtKB:Q7Z417|ens)P02316(Evidence code:IEA/Database source:InterPro:IPR000079)F1MIX6(Evidence code:IEA/Database source:UniProtKB:A0A096LNH6)Q1RMH9(Evidence code:ISS/Database source:UniProtKB:Q99543)E1BN90(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)E1BCN3(Evidence code:IEA/Database source:UniProtKB:Q9UM07|ens)Q2TBR3(Evidence code:IEA/Database source:InterPro:IPR002164)Q3T0I4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)E1BMT1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)Q58DC8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)P62958(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)Q2M2T1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)Q3SZL4(Evidence code:IEA/Database source:InterPro:IPR016592)G3N0U2(Evidence code:IEA/Database source:InterPro:IPR004367)F1N1D2(Evidence code:IEA/Database source:InterPro:IPR011940)Q3ZC66(Evidence code:IEA/Database source:UniProtKB:Q9P021|ens)Q58DR2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)E1BDZ8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)A4IFN7(Evidence code:IEA/Database source:UniProtKB:O08759|ens)A7E3B5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539), TFAP2D ANP32A MYOZ1 NACA USP10 ELAC1 HDGF PRKCD PDS5A ZKSCAN1 PHF20L1 RBBP8 FBXL4 NUFIP2 HMGN1 DOCK1 DNAJC2 ZKSCAN2 PADI4 SET ALYREF SIX3 ORC1 HINT1 HIST1H2BK NBN CCNB3 DMC1 CRIPT DNAJB12 EPC2 UBE3A ARID4B,CC,33,33 of 1172,26.83,2.82,1.298E-16,9.46E-14
GO:0005737,cytoplasm,Q3T0I4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q3ZC66(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q9TS87(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q0P5H6(Evidence code:IBA/Database source:PANTHER:PTN001871492)P51122(Evidence code:ISS/Database source:UniProtKB:P39687)E1BCN3(Evidence code:IEA/Database source:InterPro:IPR013530|I)P62958(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)G3N0A1(Evidence code:IEA/Database source:UniProtKB:Q96D09|ens)Q29RY4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)A4IFN7(Evidence code:IBA/Database source:PANTHER:PTN000134256)F1MS60(Evidence code:IEA/Database source:UniProtKB:Q80YF9|ens)P62326(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)F1MUI1(Evidence code:IEA/Database source:UniProtKB:Q80VL1|ens)A4IFD0(Evidence code:IEA/Database source:InterPro:IPR006267)E1BD35(Evidence code:IBA/Database source:PANTHER:PTN000965417)Q5E9A1(Evidence code:ISS/Database source:UniProtKB:Q60817)F1MRZ8(Evidence code:IEA/Database source:UniProtKB:P08567|ens)A0JN97(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)A4Z945(Evidence code:IBA/Database source:PANTHER:PTN000192346)E1BGS4(Evidence code:IEA/Database source:UniProtKB:P40222|ens)P29473(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)E1BJZ0(Evidence code:IEA/Database source:GO:0039530)Q9XSK7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)A5PJS6(Evidence code:ISS/Database source:UniProtKB:Q14694)F1MXK2(Evidence code:IEA/Database source:UniProtKB:Q7Z417|ens)A4IF78(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P21752(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)A4FUG5(Evidence code:IEA/Database source:InterPro:IPR004148)A6QQV9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q08DY1(Evidence code:IEA/Database source:InterPro:IPR004148)Q0VD31(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q1RMH9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)E1BMK9(Evidence code:IEA/Database source:UniProtKB:Q9NXG0|ens)G3X823(Evidence code:IEA/Database source:UniProtKB:Q99PN3|ens), ALYREF CRIPT TAGLN TBL2 ANP32A PADI4 HINT1 GPRASP2 ELAC1 UBE3A ARHGAP33 TMSB4 TDRKH Ak5 RIC8B NACA PLEK PRKCD ZBED8 TXLNA NOS3 IFIH1 HDGF USP10 NUFIP2 TNFAIP8 TMSB10 BIN2 AFAP1L1 BIN3 FBXL4 DNAJC2 CNTLN TRIM26,CC,34,34 of 1304,27.64,2.61,4.204E-16,1.533E-13
GO:0005524,ATP binding,G5E626(Evidence code:IEA/Database source:InterPro:IPR003439|I)Q58DC8(Evidence code:IEA/Database source:InterPro:IPR003959)Q3MHK0(Evidence code:IEA/Database source:InterPro:IPR001752|I)A4IFD0(Evidence code:IEA/Database source:InterPro:IPR000850|I)F1MSA4(Evidence code:IEA/Database source:InterPro:IPR000330)A5D791(Evidence code:IEA/Database source:InterPro:IPR000719)A0JN97(Evidence code:IEA/Database source:InterPro:IPR000719|I)F1MNS5(Evidence code:IEA/Database source:UniProtKB:P22413|ens)F1MIP7(Evidence code:IEA/Database source:InterPro:IPR003439|I)F1MCG9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0067)F6RF21(Evidence code:IEA/Database source:InterPro:IPR010935|I)F1N1D2(Evidence code:IEA/Database source:InterPro:IPR011940|I)E1BJZ0(Evidence code:IEA/Database source:InterPro:IPR006935)E1BIJ5(Evidence code:IEA/Database source:UniProtKB:Q86UW6|ens), ABCC6 ORC1 KIF3A Ak5 RAD54B EIF2AK3 PRKCD ENPP1 ABCC2 DGKK SMCHD1 DMC1 IFIH1 N4BP2,MF,14,14 of 403,11.38,3.47,2.61E-09,6.342E-07
GO:0010469,regulation of signaling receptor activity,Q3Y5Z3(Evidence code:IEA/Database source:GO:0005179)Q2KIE5(Evidence code:IEA/Database source:GO:0005125)O77482(Evidence code:IEA/Database source:GO:0005125)P19159(Evidence code:IEA/Database source:GO:0005179)Q9XSK7(Evidence code:IEA/Database source:GO:0008083), ADIPOQ CXCL2 IL1RN CSH2 HDGF,BP,5,5 of 22,4.07,22.73,6.637E-08,0.0000121
GO:0003677,DNA binding,A4Z945(Evidence code:IBA/Database source:PANTHER:PTN000192346)F1N1D2(Evidence code:IEA/Database source:InterPro:IPR011940|I)Q5E9A1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0238)F1MXF5(Evidence code:IEA/Database source:InterPro:IPR005539)Q2M2T1(Evidence code:IEA/Database source:InterPro:IPR000558|I)A6QNQ6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0238)P02316(Evidence code:IEA/Database source:UniProtKB-KW:KW-0238)E1BMT1(Evidence code:IEA/Database source:InterPro:IPR001356|I)Q58DC8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0238)Q1RMH9(Evidence code:IEA/Database source:InterPro:IPR009057)A7E3B5(Evidence code:IEA/Database source:InterPro:IPR001606|I)Q9XSK7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0238)E1BJZ0(Evidence code:IEA/Database source:InterPro:IPR006935), ZBED8 DMC1 NACA AKAP9 HIST1H2BK RBBP8 HMGN1 SIX3 ORC1 DNAJC2 ARID4B HDGF IFIH1,MF,13,13 of 481,10.57,2.7,0.000000151,0.00002202
GO:0016021,integral component of membrane,Q0VCH4(Evidence code:IEA/Database source:InterPro:IPR009729)F1N084(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q5EA03(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)F1MUU8(Evidence code:IEA/Database source:InterPro:IPR000276|I)F1MYL5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)F1ME33(Evidence code:IEA/Database source:InterPro:IPR000276|I)A8E4Q7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q1L1H6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)G5E5W4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)F1MNS5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)E1BMC6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q2TBU3(Evidence code:IEA/Database source:InterPro:IPR023601)Q58DR2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A7MAZ2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q2TBM9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q17QV5(Evidence code:IEA/Database source:InterPro:IPR029588)F1MIP7(Evidence code:IEA/Database source:InterPro:IPR005292|I)E1B7L5(Evidence code:IEA/Database source:InterPro:IPR000276|I)G5E626(Evidence code:IEA/Database source:InterPro:IPR005292|I)F1MUI1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A2VDS6(Evidence code:IEA/Database source:InterPro:IPR000832|I), GAL3ST3 LOC530348 TMEM186 OR8D4 CNTNAP5 LOC788438 CLEC12A CD1B3 CNTNAP4 ENPP1 SLMAP GOSR1 DNAJB12 STX12 SERAC1 TRPM3 ABCC2 OR6C75 ABCC6 TDRKH VIPR1,CC,21,21 of 1299,17.07,1.62,2.135E-07,0.00002224
GO:0005622,intracellular,Q56JZ1(Evidence code:IEA/Database source:InterPro:IPR001380|I)E1BIL7(Evidence code:IEA/Database source:InterPro:IPR001909|I)L8B5P3(Evidence code:IEA/Database source:GO:0035556)E1BN90(Evidence code:IEA/Database source:InterPro:IPR001909|I)G3X823(Evidence code:IEA/Database source:InterPro:IPR000315)A2VDX0(Evidence code:IEA/Database source:InterPro:IPR002108)F1MCG9(Evidence code:IEA/Database source:GO:0035556), RPL13 ZKSCAN1 ADCY10 ZKSCAN2 TRIM26 TWF2 DGKK,CC,7,7 of 95,5.69,7.37,1.862E-07,0.00002224
GO:0005829,cytosol,E1BD35(Evidence code:IEA/Database source:UniProtKB:B7WPL0|ens)F1MIX6(Evidence code:IEA/Database source:UniProtKB:A0A096LNH6)Q29RY4(Evidence code:ISS/Database source:UniProtKB:Q9H777)Q56JY8(Evidence code:IEA/Database source:UniProtKB:P20290|ens)P62326(Evidence code:ISS/Database source:UniProtKB:P62328)A5PJS6(Evidence code:IEA/Database source:UniProtKB:Q14694|ens)Q3T186(Evidence code:IBA/Database source:PANTHER:PTN000232509)A4IFD0(Evidence code:IEA/Database source:UniProtKB:Q9Y6K8|ens)A4IFN7(Evidence code:IEA/Database source:UniProtKB:O08759|ens)P62958(Evidence code:IEA/Database source:UniProtKB:P49773|ens)F1MXK2(Evidence code:IEA/Database source:UniProtKB:Q7Z417|ens)E1BF59(Evidence code:IEA/Database source:UniProtKB:Q15149|ens)Q1RMH9(Evidence code:ISS/Database source:UniProtKB:Q99543)E1BMK9(Evidence code:IEA/Database source:UniProtKB:Q9NXG0|ens)E1BIJ5(Evidence code:IEA/Database source:UniProtKB:F8VQG7|ens), RIC8B DOCK1 ELAC1 BTF3 TMSB4 USP10 RPIA Ak5 UBE3A HINT1 NUFIP2 PLEC DNAJC2 CNTLN N4BP2,CC,15,15 of 769,12.2,1.95,0.00000102,0.00009292
GO:0005694,chromosome,A6QNQ6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0158)Q2M2T1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0158)F6RF21(Evidence code:IEA/Database source:InterPro:IPR010935|I)E1BLN1(Evidence code:IEA/Database source:UniProtKB:Q62209|ens)F1N1D2(Evidence code:IEA/Database source:UniProtKB:Q61880|ens), RBBP8 HIST1H2BK SMCHD1 SYCP1 DMC1,CC,5,5 of 47,4.07,10.64,0.000001967,0.0001593
GO:0007608,sensory perception of smell,F1MUU8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0552)E1B7L5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0552)F1ME33(Evidence code:IEA/Database source:UniProtKB-KW:KW-0552), OR8D4 OR6C75 LOC788438,BP,3,3 of 5,2.44,60,0.000003158,0.0002302
