GO,Function,Proteins,Gene Name,Ontology group,Count of protein,Number of proteins detected within the genome,GO frequency within the dataset (%),GO frequency within the genome (%),P-Value,P-Values_BH
GO:0005739,mitochondrion,P23004(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q29RK1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q3SZI8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)O02691(Evidence code:ISS/Database source:UniProtKB:O08756)P00423(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P00125(Evidence code:ISS/Database source:UniProtKB:Q9D0M3)P00428(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P31800(Evidence code:ISS/Database source:UniProtKB:Q9CZ13)P05631(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P45879(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P13620(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q58DR8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P23935(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P42029(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P62894(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P00432(Evidence code:IBA/Database source:PANTHER:PTN000157252)Q2TBV3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P52505(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q58DM8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q28851(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q29RZ0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P00426(Evidence code:ISS/Database source:UniProtKB:P12787)P00366(Evidence code:ISS/Database source:UniProtKB:P26443)Q32LL2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q3T165(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P20000(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P13619(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q0VCA3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P12344(Evidence code:ISS/Database source:UniProtKB:P00507)P13184(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q3T0B6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P02721(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)F1MDS3(Evidence code:IEA/Database source:UniProtKB:Q16822|ens)Q64L89(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q5E9F1(Evidence code:IEA/Database source:GO:0051561)P31039(Evidence code:ISS/Database source:UniProtKB:P31040), UQCRC2 CS IVD HSD17B10 COX4I1 CYC1 COX5B UQCRC1 ATP5C1 VDAC1 ATP5H SUCLG1 NDUFA5 NDUFA8 CYCS CAT ETFB NDUFAB1 ECHS1 ATP5J2 ACAT1 COX5A GLUD1 STOML2 PHB ALDH2 ATP5F1 LETM1 GOT2 COX7A2 C1QBP ATP5J PCK2 MGST1 BCAP31 SDHA,CC,36,36 of 380,40.45,9.47,1.223E-38,6.801E-36
GO:0016020,membrane,P23004(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P11456(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q64L89(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P05631(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A6QLP7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P31039(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P00428(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q1L1H6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A7YY49(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A8PVV5(Evidence code:IEA/Database source:InterPro:IPR001285|I)Q32LL2(Evidence code:IEA/Database source:InterPro:IPR001972)P13620(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q2YDL5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P13619(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q3T165(Evidence code:IEA/Database source:InterPro:IPR000163)Q5E9F1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q2KI36(Evidence code:IEA/Database source:InterPro:IPR001733)P13184(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q6QUN5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P45879(Evidence code:ISS/Database source:UniProtKB:Q60932)A7YWH4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q673L2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q5EA68(Evidence code:IEA/Database source:InterPro:IPR002208)P23935(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q8MJ82(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P00423(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A4IFT6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q28851(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P12344(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q5E9M1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P02721(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q2NL04(Evidence code:IEA/Database source:InterPro:IPR008056)Q3T0B6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P00426(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q0VCA3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A6QQR5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q2KID7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q0V888(Evidence code:IEA/Database source:InterPro:IPR003378)P31800(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A6H7H3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q5E9X4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q3T133(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P00125(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A5PJQ6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P42029(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q6Y1E2(Evidence code:IEA/Database source:InterPro:IPR008253), UQCRC2 M6PR MGST1 ATP5C1 SSR1 SDHA COX5B CD1B3 SURF4 SYPL1 STOML2 ATP5H FKBP11 ATP5F1 PHB BCAP31 SEC11C COX7A2 TREM1 VDAC1 BoLA C5AR1 SEC61A1 NDUFA5 lman1 COX4I1 TMED7 ATP5J2 GOT2 ARL6IP5 ATP5J TAPBP C1QBP COX5A LETM1 TMEM43 OSTC COPG UQCRC1 LOC789567 LRRC59 TMED9 CYC1 PGRMC2 NDUFA8 PLP2,CC,46,46 of 1837,51.69,2.5,1.545E-24,4.294E-22
GO:0005743,mitochondrial inner membrane,P13184(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)P31039(Evidence code:ISS/Database source:UniProtKB:Q0QF01)P00125(Evidence code:ISS/Database source:UniProtKB:Q9D0M3)Q28851(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)P31800(Evidence code:ISS/Database source:UniProtKB:Q9CZ13)P05631(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)P00366(Evidence code:ISS/Database source:UniProtKB:P26443)P23935(Evidence code:IEA/Database source:InterPro:IPR006806)P00423(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)P13620(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)Q0VCA3(Evidence code:ISS/Database source:UniProtKB:O95202)P02721(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)P13619(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)P23004(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)Q32LL2(Evidence code:ISS/Database source:UniProtKB:Q9UJZ1)Q3T165(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)P12344(Evidence code:ISS/Database source:UniProtKB:P05202)P00428(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)P00426(Evidence code:IEA/Database source:InterPro:IPR003204|I)P42029(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999), COX7A2 SDHA CYC1 ATP5J2 UQCRC1 ATP5C1 GLUD1 NDUFA5 COX4I1 ATP5H LETM1 ATP5J ATP5F1 UQCRC2 STOML2 PHB GOT2 COX5B COX5A NDUFA8,CC,20,20 of 215,22.47,9.3,1.263E-22,2.34E-20
GO:0055114,oxidation-reduction process,Q3SZI8(Evidence code:IEA/Database source:InterPro:IPR006089|I)P20000(Evidence code:IEA/Database source:InterPro:IPR015590|I)P52505(Evidence code:IEA/Database source:UniProtKB-KW:KW-0249)P00125(Evidence code:IEA/Database source:UniProtKB-KW:KW-0249)A6H7H3(Evidence code:IEA/Database source:GO:0016491)P00366(Evidence code:IEA/Database source:InterPro:IPR006095|I)P31039(Evidence code:IEA/Database source:InterPro:IPR003952|I)P42029(Evidence code:IEA/Database source:UniProtKB-KW:KW-0249)Q2TBV3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0249)P00432(Evidence code:IEA/Database source:InterPro:IPR011614|I)Q3MHW4(Evidence code:IEA/Database source:InterPro:IPR023753)P23935(Evidence code:IEA/Database source:UniProtKB-KW:KW-0249)P31800(Evidence code:IEA/Database source:UniProtKB-KW:KW-0249)P62894(Evidence code:IEA/Database source:UniProtKB-KW:KW-0249)O02691(Evidence code:IEA/Database source:UniProtKB-KW:KW-0560)P23004(Evidence code:IEA/Database source:UniProtKB-KW:KW-0249), IVD ALDH2 NDUFAB1 CYC1 LOC789567 GLUD1 SDHA NDUFA8 ETFB CAT SQRDL NDUFA5 UQCRC1 CYCS HSD17B10 UQCRC2,BP,16,16 of 162,17.98,9.88,6.52E-19,9.062E-17
GO:0005783,endoplasmic reticulum,Q5E9X4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q5E983(Evidence code:IEA/Database source:UniProtKB:P24534|ens)Q1LZB0(Evidence code:ISS/Database source:UniProtKB:Q80WW9)A7YY49(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q5EA68(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q5E9M1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q2KI36(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q2KID7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)A6QLP7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q58DQ3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q148K7(Evidence code:IEA/Database source:InterPro:IPR010483)Q5E9F1(Evidence code:IEA/Database source:InterPro:IPR008417)Q3T133(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)A4IFT6(Evidence code:IEA/Database source:UniProtKB:Q9Y3B3|ens)Q3T0L2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q64L89(Evidence code:ISS/Database source:UniProtKB:P08011), LRRC59 EEF1B DDRGK1 SURF4 SEC61A1 ARL6IP5 SEC11C OSTC SSR1 RPL6 LRPAP1 BCAP31 TMED9 TMED7 ERP44 MGST1,CC,16,16 of 220,17.98,7.27,5.928E-17,6.592E-15
GO:0016021,integral component of membrane,P11456(Evidence code:IEA/Database source:InterPro:IPR000296)Q28851(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)P45879(Evidence code:IEA/Database source:InterPro:IPR030270)Q6Y1E2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q2NL04(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A4IFT6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q5E9X4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q673L2(Evidence code:IEA/Database source:InterPro:IPR000276|I)Q2KID7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q64L89(Evidence code:ISS/Database source:UniProtKB:P08011)Q1L1H6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A6QQR5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q5EA68(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q2YDL5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q5E9F1(Evidence code:IEA/Database source:InterPro:IPR008417)Q3T133(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A6H7H3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A6QLP7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)P00423(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)P00125(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q6QUN5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q2KI36(Evidence code:IEA/Database source:InterPro:IPR019756|I)A8PVV5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q0VCA3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A7YWH4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A7YY49(Evidence code:IEA/Database source:InterPro:IPR002995)Q5E9M1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A5PJQ6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q8MJ82(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812), M6PR ATP5J2 VDAC1 PLP2 TAPBP TMED7 LRRC59 C5AR1 OSTC MGST1 CD1B3 TMEM43 SEC61A1 FKBP11 BCAP31 TMED9 LOC789567 SSR1 COX4I1 CYC1 TREM1 SEC11C SYPL1 LETM1 BoLA SURF4 ARL6IP5 PGRMC2 lman1,CC,29,29 of 1299,32.58,2.23,1.488E-15,1.379E-13
GO:0070469,respiratory chain,P52505(Evidence code:IEA/Database source:UniProtKB-KW:KW-0679)P42029(Evidence code:IEA/Database source:UniProtKB-KW:KW-0679)P62894(Evidence code:IEA/Database source:UniProtKB-KW:KW-0679)P23004(Evidence code:IEA/Database source:UniProtKB-KW:KW-0679)P23935(Evidence code:IEA/Database source:UniProtKB-KW:KW-0679)P00125(Evidence code:IEA/Database source:UniProtKB-KW:KW-0679)P31800(Evidence code:IEA/Database source:UniProtKB-KW:KW-0679), NDUFAB1 NDUFA8 CYCS UQCRC2 NDUFA5 CYC1 UQCRC1,CC,7,7 of 10,7.87,70,3.034E-14,2.41E-12
GO:0005759,mitochondrial matrix,Q58DM8(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P00366(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q58DR8(Evidence code:IBA/Database source:PANTHER:PTN000122014)Q3SZI8(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P20000(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P52505(Evidence code:IDA/Database source:)P12344(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q2TBV3(Evidence code:ISS/Database source:UniProtKB:P38117)Q29RK1(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q3T0B6(Evidence code:IEA/Database source:InterPro:IPR003428|I), ECHS1 GLUD1 SUCLG1 IVD ALDH2 NDUFAB1 GOT2 ETFB CS C1QBP,CC,10,10 of 111,11.24,9.01,4.106E-12,2.854E-10
GO:0005840,ribosome,Q58DW5(Evidence code:IEA/Database source:InterPro:IPR005485)Q2TBQ5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0689)Q58DT1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0689)Q5E9E6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0689)Q58DQ3(Evidence code:IEA/Database source:InterPro:IPR000915|I)Q56JX8(Evidence code:IEA/Database source:InterPro:IPR000589|I)Q3T0S6(Evidence code:IEA/Database source:InterPro:IPR002171|I), RPL5 RPL7A RPL7 RPL10A RPL6 RPS13 RPL8,CC,7,7 of 26,7.87,26.92,6.392E-12,3.949E-10
GO:0005789,endoplasmic reticulum membrane,Q5EA68(Evidence code:ISS/Database source:UniProtKB:P61619)Q6Y1E2(Evidence code:IBA/Database source:PANTHER:PTN000512431)Q5E9M1(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q3T0L2(Evidence code:IEA/Database source:UniProtKB:Q9BS26|ens)Q64L89(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)A7YY49(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q5E9X4(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q3T133(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q2KI36(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)A6QLP7(Evidence code:IEA/Database source:InterPro:IPR005595)Q5E9F1(Evidence code:IBA/Database source:PANTHER:PTN000294723), SEC61A1 PLP2 ARL6IP5 ERP44 MGST1 SURF4 LRRC59 TMED9 SEC11C SSR1 BCAP31,CC,11,11 of 244,12.36,4.51,4.074E-10,2.265E-08
