GO,Function,Proteins,Gene Name,Ontology group,Count of protein,Number of proteins detected within the genome,GO frequency within the dataset (%),GO frequency within the genome (%),P-Value,P-Values_BH
GO:0005576,extracellular region,P01044(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q3SZV7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q0IIA4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q3MHN5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q2KJF1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q7SIH1(Evidence code:IEA/Database source:InterPro:IPR009048|I)O18738(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)O46375(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P06868(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q32PJ2(Evidence code:IEA/Database source:InterPro:IPR000074)P08037(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q8SPP7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P54228(Evidence code:IEA/Database source:InterPro:IPR001894|I)Q3ZCH5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P01045(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P17697(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P31096(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P02702(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P41361(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P02672(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q95122(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q2TBI0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P34955(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)A0JNP2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P81187(Evidence code:IEA/Database source:InterPro:IPR011360)P12799(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P22226(Evidence code:IEA/Database source:InterPro:IPR001894|I)P15467(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P02662(Evidence code:IEA/Database source:InterPro:IPR001588|I)P11151(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q2UVX4(Evidence code:IEA/Database source:InterPro:IPR000020|I)Q3ZCL0(Evidence code:IEA/Database source:InterPro:IPR018244)P02754(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P02663(Evidence code:IEA/Database source:InterPro:IPR001588|I)Q2TBU0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P00735(Evidence code:IEA/Database source:InterPro:IPR000294|I)P79345(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P07688(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P30922(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q0VCM5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)O02853(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q29RU4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P26779(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P12763(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P28800(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q95121(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P02769(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P15497(Evidence code:IEA/Database source:InterPro:IPR000074)P24627(Evidence code:IEA/Database source:InterPro:IPR018195|I)Q29RQ1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q2KIS7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q3T052(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P02666(Evidence code:IEA/Database source:InterPro:IPR001588)Q9MZ06(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P02676(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P00711(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P80457(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q0P569(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P62935(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q95114(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P80025(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P07589(Evidence code:IEA/Database source:InterPro:IPR000083)Q3MHN2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P81265(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q3T0A3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q03247(Evidence code:IEA/Database source:InterPro:IPR000074)Q3SZR3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q28085(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P19660(Evidence code:IEA/Database source:InterPro:IPR001894|I)P01888(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964), KNG1 HPX GP2 GC A1BG A2M DAG1 TTR PLG APOA4 B4GALT1 PGLYRP1 CATHL6 AZGP1 KNG2 CLU SPP1 FOLR1 SERPINC1 FGA CD14 LBP SERPINA1 SCGB1D CFB FGG CATHL1 RNASE4 CSN1S1 LPL C3 CRISP3 LGB CSN1S2 HP F2 NPC2 CTSB CHI3L1 ITIH1 PTGDS C6 PSAP AHSG SERPINF2 SERPINF1 ALB APOA1 LTF C7 CLEC3B ITIH4 CSN2 FGFBP1 FGB LALBA XDH NUCB1 PPIA MFGE8 LPO FN1 C9 PIGR CFD APOE ORM1 CFH CATHL2 B2M,CC,70,70 of 300,69.31,23.33,2.107E-91,1.397E-88
GO:0005615,extracellular space,A6QPP2(Evidence code:IEA/Database source:InterPro:IPR000215)Q2KIS7(Evidence code:ISS/Database source:UniProtKB:P05452)P30922(Evidence code:IEA/Database source:InterPro:IPR028538)Q1JPB0(Evidence code:IEA/Database source:InterPro:IPR000215)Q2UVX4(Evidence code:IEA/Database source:InterPro:IPR011626)Q0VCX1(Evidence code:IBA/Database source:PANTHER:PTN002385416)O18738(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P00711(Evidence code:IDA/Database source:)P07589(Evidence code:IDA/Database source:)Q3MHN2(Evidence code:ISS/Database source:UniProtKB:P02748)P02666(Evidence code:IEA/Database source:UniProtKB:P05814|ens)P80457(Evidence code:IDA/Database source:)Q3ZCH5(Evidence code:IEA/Database source:UniProtKB:P25311|ens)Q2KIF2(Evidence code:IEA/Database source:UniProtKB:P02750|ens)P34955(Evidence code:IEA/Database source:InterPro:IPR000215)P10790(Evidence code:IEA/Database source:UniProtKB:P11404|ens)P01045(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P01044(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q3MHN5(Evidence code:IEA/Database source:InterPro:IPR000213|I)O46375(Evidence code:IBA/Database source:PANTHER:PTN000044593)Q2TBI0(Evidence code:IEA/Database source:InterPro:IPR030180|I)P41361(Evidence code:IEA/Database source:InterPro:IPR000215)O02853(Evidence code:ISS/Database source:UniProtKB:P41222)P24627(Evidence code:IEA/Database source:InterPro:IPR016357)P02663(Evidence code:IDA/Database source:)G8JKW7(Evidence code:IEA/Database source:InterPro:IPR000215)P79345(Evidence code:IEA/Database source:UniProtKB:P61916|ens)P00735(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P30931(Evidence code:ISS/Database source:UniProtKB:P13726)P02769(Evidence code:IEA/Database source:InterPro:IPR000264|I)Q3SYR8(Evidence code:IEA/Database source:UniProtKB:P01591|ens)P17697(Evidence code:ISS/Database source:UniProtKB:P10909)P02662(Evidence code:IDA/Database source:)F1MX50(Evidence code:IEA/Database source:UniProtKB:O75629|ens)P08037(Evidence code:IDA/Database source:)P31096(Evidence code:IEA/Database source:UniProtKB-KW:KW-0202)P26779(Evidence code:IBA/Database source:PANTHER:PTN000159337)Q7SIH1(Evidence code:IEA/Database source:InterPro:IPR011626)Q95121(Evidence code:IEA/Database source:InterPro:IPR000215)P80025(Evidence code:IEA/Database source:UniProtKB:P22079|ens)Q3SZV7(Evidence code:IEA/Database source:UniProtKB:P02790|ens)P12763(Evidence code:IEA/Database source:InterPro:IPR001363)Q8WML4(Evidence code:IBA/Database source:PANTHER:PTN001293623)Q2TBU0(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q3SZR3(Evidence code:IEA/Database source:InterPro:IPR001500)P28800(Evidence code:IEA/Database source:InterPro:IPR000215)Q9MZ06(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P07688(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P11151(Evidence code:ISS/Database source:UniProtKB:P06858)P15497(Evidence code:IEA/Database source:UniProtKB:P02647|ens), SERPIND1 CLEC3B CHI3L1 SERPINB1 C3 C1S DAG1 LALBA FN1 C9 CSN2 XDH AZGP1 LRG1 SERPINA1 FABP3 KNG2 KNG1 GC TTR LBP SERPINC1 PTGDS LTF CSN1S2 SERPINA3 NPC2 F2 F3 ALB IGJ CLU CSN1S1 CREG1 B4GALT1 SPP1 PSAP A2M SERPINF1 LPO HPX AHSG MUC1 HP ORM1 SERPINF2 FGFBP1 CTSB LPL APOA1,CC,50,50 of 426,49.5,11.74,6.354E-54,2.106E-51
GO:0010951,negative regulation of endopeptidase activity,G8JKW7(Evidence code:IEA/Database source:GO:0004867)Q1JPB0(Evidence code:IEA/Database source:GO:0004867)P41361(Evidence code:IEA/Database source:GO:0004867)Q95121(Evidence code:IEA/Database source:GO:0004867)P01045(Evidence code:IEA/Database source:GO:0004869)A6QPP2(Evidence code:IEA/Database source:GO:0004867)Q7SIH1(Evidence code:IEA/Database source:GO:0004866)Q0VCM5(Evidence code:IEA/Database source:GO:0004867)Q2UVX4(Evidence code:IEA/Database source:GO:0004866)P34955(Evidence code:IEA/Database source:GO:0004867)P28800(Evidence code:IEA/Database source:GO:0004867)P01044(Evidence code:IEA/Database source:GO:0004869)Q3T052(Evidence code:IEA/Database source:GO:0004867)P12763(Evidence code:IEA/Database source:GO:0004866), SERPINA3 SERPINB1 SERPINC1 SERPINF1 KNG2 SERPIND1 A2M ITIH1 C3 SERPINA1 SERPINF2 KNG1 ITIH4 AHSG,BP,14,14 of 31,13.86,45.16,3.297E-24,7.286E-22
GO:0045087,innate immune response,Q28085(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)Q2TBI0(Evidence code:IEA/Database source:InterPro:IPR030180)Q0VCX1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)P02676(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)Q2UVX4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)Q3MHN2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)Q29RU4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)P02672(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)Q8SPP7(Evidence code:IEA/Database source:InterPro:IPR017331)Q3SYR8(Evidence code:IEA/Database source:UniProtKB:P01591|ens)Q29RQ1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)Q3T0A3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)Q95122(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)P81187(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399), CFH LBP C1S FGB C3 C9 C6 FGA PGLYRP1 IGJ C7 CFD CD14 CFB,BP,14,14 of 131,13.86,10.69,1.543E-16,2.557E-14
GO:0010466,negative regulation of peptidase activity,P02666(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)P28800(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)Q1JPB0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)Q7SIH1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)P01045(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)P01044(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)Q0VCM5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)P34955(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)P41361(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)Q3T052(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646), CSN2 SERPINF2 SERPINB1 A2M KNG2 KNG1 ITIH1 SERPINA1 SERPINC1 ITIH4,BP,10,10 of 32,9.9,31.25,1.942E-16,2.576E-14
GO:0004867,serine-type endopeptidase inhibitor activity,Q7SIH1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0722)P41361(Evidence code:IEA/Database source:InterPro:IPR015555|I)A6QPP2(Evidence code:IBA/Database source:PANTHER:PTN000156122)P34955(Evidence code:IEA/Database source:UniProtKB-KW:KW-0722)G8JKW7(Evidence code:IBA/Database source:PANTHER:PTN000156122)Q3T052(Evidence code:IEA/Database source:InterPro:IPR010600)P28800(Evidence code:IEA/Database source:InterPro:IPR033833)Q0VCM5(Evidence code:IEA/Database source:InterPro:IPR010600)Q1JPB0(Evidence code:IEA/Database source:InterPro:IPR015557)Q95121(Evidence code:IBA/Database source:PANTHER:PTN000156122), A2M SERPINC1 SERPIND1 SERPINA1 SERPINA3 ITIH4 SERPINF2 ITIH1 SERPINB1 SERPINF1,MF,10,10 of 43,9.9,23.26,2.487E-15,2.748E-13
GO:0006953,acute-phase response,Q2TBI0(Evidence code:IEA/Database source:InterPro:IPR030180)Q3T052(Evidence code:IEA/Database source:UniProtKB-KW:KW-0011)Q3SZR3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0011)Q2TBU0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0011)P00735(Evidence code:IEA/Database source:UniProtKB-KW:KW-0011)P12763(Evidence code:ISS/Database source:UniProtKB:P02765)P07589(Evidence code:IEA/Database source:UniProtKB-KW:KW-0011)P28800(Evidence code:IEA/Database source:UniProtKB-KW:KW-0011), LBP ITIH4 ORM1 HP F2 AHSG FN1 SERPINF2,BP,8,8 of 16,7.92,50,8.806E-15,8.34E-13
GO:0007596,blood coagulation,P02676(Evidence code:IEA/Database source:InterPro:IPR037580)P06868(Evidence code:IEA/Database source:UniProtKB-KW:KW-0094)P02672(Evidence code:IEA/Database source:InterPro:IPR037579)P00735(Evidence code:IEA/Database source:InterPro:IPR003966|I)P30931(Evidence code:IEA/Database source:InterPro:IPR001187)P41361(Evidence code:IEA/Database source:UniProtKB-KW:KW-0094)P01045(Evidence code:IEA/Database source:UniProtKB-KW:KW-0094)P01044(Evidence code:IEA/Database source:UniProtKB-KW:KW-0094)P12799(Evidence code:IEA/Database source:InterPro:IPR037581), FGB PLG FGA F2 F3 SERPINC1 KNG2 KNG1 FGG,BP,9,9 of 31,8.91,29.03,1.06E-14,8.781E-13
GO:0007599,hemostasis,P00735(Evidence code:IEA/Database source:UniProtKB-KW:KW-0356)P41361(Evidence code:IEA/Database source:UniProtKB-KW:KW-0356)P02672(Evidence code:IEA/Database source:UniProtKB-KW:KW-0356)P01044(Evidence code:IEA/Database source:UniProtKB-KW:KW-0356)P02676(Evidence code:IEA/Database source:UniProtKB-KW:KW-0356)P30931(Evidence code:IEA/Database source:UniProtKB-KW:KW-0356)P01045(Evidence code:IEA/Database source:UniProtKB-KW:KW-0356)P12799(Evidence code:IEA/Database source:UniProtKB-KW:KW-0356)P06868(Evidence code:IEA/Database source:UniProtKB-KW:KW-0356), F2 SERPINC1 FGA KNG1 FGB F3 KNG2 FGG PLG,BP,9,9 of 32,8.91,28.12,1.353E-14,9.97E-13
GO:0002376,immune system process,Q28085(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)Q3T0A3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)Q8SPP7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)Q95122(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)P81187(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)Q3MHN2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)P02676(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)Q29RQ1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)Q2UVX4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)P24627(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)Q2TBI0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)Q0VCX1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)Q2TBU0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)P01888(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)Q29RU4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391)P02672(Evidence code:IEA/Database source:UniProtKB-KW:KW-0391), CFH CFD PGLYRP1 CD14 CFB C9 FGB C7 C3 LTF LBP C1S HP B2M C6 FGA,BP,16,16 of 334,15.84,4.79,1.551E-13,1.028E-11
